INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../sgm_kernel-tb.cpp in debug mode
   Compiling ../../../sgm_kernel.cpp in debug mode
   Generating csim.exe
Descriptor decimal = 240
Descriptor binary  = 11110000
Frame 000052, D1 = 30.441 %, MAE = 3.33029 px, Bad1 = 69.2585 %, Bad3 = 27.9449 %
Frame 000053, D1 = 27.9192 %, MAE = 2.81704 px, Bad1 = 62.4381 %, Bad3 = 24.546 %
Frame 000054, D1 = 26.218 %, MAE = 2.17731 px, Bad1 = 65.1887 %, Bad3 = 22.7105 %
Frame 000055, D1 = 25.5147 %, MAE = 2.14165 px, Bad1 = 65.974 %, Bad3 = 21.3433 %
Frame 000056, D1 = 23.6821 %, MAE = 2.18588 px, Bad1 = 66.1363 %, Bad3 = 19.4051 %
Frame 000057, D1 = 34.3203 %, MAE = 3.03297 px, Bad1 = 69.852 %, Bad3 = 29.7862 %
Frame 000058, D1 = 41.2305 %, MAE = 5.88595 px, Bad1 = 77.6594 %, Bad3 = 41.3059 %
Frame 000059, D1 = 37.1478 %, MAE = 3.27022 px, Bad1 = 74.0466 %, Bad3 = 33.6635 %
Frame 000060, D1 = 39.9169 %, MAE = 3.40527 px, Bad1 = 71.3788 %, Bad3 = 37.6307 %
Frame 000061, D1 = 41.9287 %, MAE = 3.76856 px, Bad1 = 77.7076 %, Bad3 = 39.4609 %
Frame 000062, D1 = 32.6101 %, MAE = 2.79079 px, Bad1 = 69.321 %, Bad3 = 29.3665 %
Frame 000063, D1 = 36.9116 %, MAE = 3.13697 px, Bad1 = 70.2 %, Bad3 = 34.0768 %
Frame 000064, D1 = 41.595 %, MAE = 3.41905 px, Bad1 = 78.1344 %, Bad3 = 38.9349 %
Frame 000065, D1 = 38.5547 %, MAE = 3.40445 px, Bad1 = 77.6477 %, Bad3 = 35.7636 %
Frame 000066, D1 = 35.2158 %, MAE = 3.06627 px, Bad1 = 70.5599 %, Bad3 = 32.3288 %
Frame 000067, D1 = 34.6337 %, MAE = 3.04817 px, Bad1 = 71.9227 %, Bad3 = 31.25 %
Frame 000068, D1 = 35.6849 %, MAE = 3.55773 px, Bad1 = 74.0474 %, Bad3 = 32.5186 %
Frame 000069, D1 = 37.4581 %, MAE = 3.23462 px, Bad1 = 72.9878 %, Bad3 = 34.04 %
Frame 000070, D1 = 33.8697 %, MAE = 2.28512 px, Bad1 = 66.7751 %, Bad3 = 23.4999 %
